Date,Andaman and Nicobar Islands,Andhra Pradesh,Bihar,Chhattisgarh,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,J and K,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,NorthEast,Odisha,Puducherry,Punjab,Rajasthan,Tamil Nadu,Telengana,Uttar Pradesh,Uttarakhand,West Bengal,India
2020-02-26,0.0,1.0,1.0,0.0,2.0,0.0,10.0,0.0,1.0,2.0,0.0,4.0,0,6.0,24.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,3.0,61.0
2020-02-27,0.0,1.0,1.0,0.0,2.0,0.0,10.0,0.0,1.0,2.0,0.0,4.0,0,6.0,24.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,2.0,0.0,3.0,63.0
2020-02-28,0.0,1.0,1.0,0.0,2.0,0.0,10.0,0.0,1.0,2.0,0.0,4.0,0,6.0,24.0,0.0,0.0,0.0,5.0,0.0,3.0,1.0,2.0,0.0,3.0,65.0
2020-02-29,0.0,1.0,1.0,0.0,2.0,0.0,10.0,0.0,1.0,2.0,0.0,4.0,0,6.0,24.0,0.0,0.0,0.0,5.0,0.0,3.0,3.0,2.0,0.0,3.0,67.0
2020-03-01,0.0,1.0,1.0,0.0,2.0,0.0,10.0,0.0,1.0,2.0,0.0,4.0,0,6.0,24.0,0.0,0.0,0.0,5.0,0.0,3.0,3.0,2.0,0.0,3.0,67.0
2020-03-02,0.0,1.0,1.0,0.0,4.0,0.0,10.0,0.0,1.0,2.0,0.0,4.0,0,6.0,24.0,0.0,0.0,0.0,5.0,0.0,3.0,3.0,2.0,0.0,3.0,69.0
2020-03-03,0.0,1.0,1.0,0.0,6.0,0.0,10.0,0.0,1.0,2.0,0.0,4.0,0,6.0,24.0,0.0,0.0,0.0,5.0,0.0,3.0,7.0,2.0,0.0,3.0,75.0
2020-03-04,0.0,1.0,1.0,0.0,6.0,0.0,10.0,0.0,1.0,2.0,0.0,4.0,0,6.0,24.0,0.0,0.0,0.0,5.0,0.0,3.0,7.0,2.0,0.0,3.0,75.0
2020-03-05,0.0,1.0,1.0,0.0,6.0,0.0,10.0,0.0,1.0,2.0,0.0,4.0,0,6.0,24.0,0.0,0.0,0.0,5.0,0.0,3.0,7.0,2.0,0.0,3.0,75.0
2020-03-06,0.0,1.0,1.0,0.0,6.0,0.0,10.0,0.0,1.0,2.0,0.0,4.0,0,6.0,24.0,0.0,0.0,0.0,5.0,0.0,3.0,7.0,2.0,0.0,3.0,75.0
2020-03-07,0.0,1.0,1.0,0.0,6.0,0.0,10.0,0.0,1.0,2.0,0.0,4.0,0,6.0,24.0,0.0,0.0,0.0,5.0,0.0,3.0,7.0,2.0,0.0,3.0,75.0
2020-03-08,0.0,1.0,1.0,0.0,6.0,0.0,10.0,0.0,1.0,2.0,0.0,4.0,0,6.0,24.0,0.0,0.0,0.0,5.0,0.0,3.0,7.0,2.0,0.0,3.0,75.0
2020-03-09,0.0,1.0,1.0,0.0,6.0,0.0,10.0,0.0,1.0,2.0,0.0,4.0,0,6.0,24.0,0.0,0.0,0.0,5.0,0.0,3.0,7.0,2.0,0.0,3.0,75.0
2020-03-10,0.0,1.0,1.0,0.0,6.0,0.0,10.0,0.0,1.0,2.0,0.0,4.0,0,6.0,24.0,0.0,0.0,0.0,5.0,0.0,3.0,7.0,2.0,0.0,3.0,75.0
2020-03-11,0.0,1.0,1.0,0.0,6.0,0.0,10.0,0.0,1.0,2.0,0.0,4.0,0,6.0,24.0,0.0,0.0,0.0,5.0,0.0,3.0,7.0,2.0,0.0,3.0,75.0
2020-03-12,0.0,1.0,1.0,0.0,6.0,0.0,10.0,0.0,1.0,2.0,0.0,4.0,0,6.0,24.0,0.0,0.0,0.0,5.0,0.0,3.0,7.0,2.0,0.0,3.0,75.0
2020-03-13,0.0,1.0,1.0,0.0,6.0,0.0,10.0,0.0,1.0,2.0,0.0,4.0,0,6.0,24.0,0.0,0.0,0.0,5.0,0.0,3.0,7.0,2.0,0.0,3.0,75.0
2020-03-14,0.0,1.0,1.0,0.0,6.0,0.0,10.0,0.0,1.0,2.0,0.0,4.0,0,6.0,24.0,0.0,0.0,0.0,5.0,0.0,3.0,7.0,2.0,0.0,3.0,75.0
2020-03-15,0.0,1.0,1.0,0.0,6.0,0.0,10.0,0.0,1.0,2.0,0.0,4.0,0,6.0,24.0,0.0,0.0,0.0,5.0,0.0,3.0,7.0,2.0,0.0,3.0,75.0
2020-03-16,0.0,1.0,1.0,0.0,6.0,0.0,10.0,0.0,1.0,2.0,0.0,4.0,0,6.0,24.0,0.0,0.0,0.0,5.0,0.0,3.0,7.0,2.0,0.0,3.0,75.0
2020-03-17,0.0,1.0,1.0,0.0,6.0,0.0,10.0,0.0,1.0,2.0,0.0,4.0,0,6.0,24.0,0.0,0.0,0.0,5.0,0.0,3.0,7.0,2.0,0.0,3.0,75.0
2020-03-18,0.0,1.0,1.0,0.0,6.0,0.0,10.0,0.0,1.0,2.0,0.0,4.0,0,6.0,24.0,0.0,0.0,0.0,5.0,0.0,3.0,7.0,2.0,0.0,3.0,75.0
2020-03-19,0.0,1.0,1.0,0.0,6.0,0.0,10.0,0.0,1.0,2.0,0.0,4.0,0,6.0,24.0,0.0,0.0,0.0,5.0,0.0,3.0,7.0,2.0,0.0,3.0,75.0
2020-03-20,0.0,1.0,1.0,0.0,6.0,0.0,10.0,0.0,1.0,2.0,0.0,4.0,0,6.0,24.0,0.0,0.0,0.0,5.0,0.0,3.0,7.0,2.0,0.0,3.0,75.0
2020-03-21,0.0,1.0,1.0,0.0,6.0,0.0,10.0,0.0,1.0,2.0,0.0,4.0,0,6.0,24.0,0.0,0.0,0.0,5.0,0.0,3.0,7.0,2.0,0.0,3.0,75.0
2020-03-22,0.0,1.0,1.0,0.0,6.0,0.0,10.0,0.0,1.0,2.0,0.0,4.0,0,6.0,24.0,0.0,0.0,0.0,5.0,0.0,3.0,7.0,2.0,0.0,3.0,75.0
2020-03-23,0.0,1.0,1.0,0.0,6.0,0.0,10.0,0.0,1.0,2.0,0.0,4.0,0,6.0,24.0,0.0,0.0,0.0,5.0,0.0,3.0,7.0,2.0,0.0,3.0,75.0
2020-03-24,0.0,1.0,1.0,0.0,6.0,0.0,10.0,0.0,1.0,2.0,0.0,4.0,0,6.0,24.0,0.0,0.0,0.0,5.0,0.0,3.0,7.0,2.0,0.0,3.0,75.0
2020-03-25,0.0,1.0,1.0,0.0,6.0,0.0,10.0,0.0,1.0,2.0,0.0,4.0,0,6.0,24.0,0.0,0.0,0.0,5.0,0.0,3.0,7.0,2.0,0.0,3.0,75.0
2020-03-26,0.0,1.0,1.0,0.0,6.0,0.0,10.0,0.0,1.0,2.0,0.0,4.0,0,6.0,24.0,0.0,0.0,0.0,5.0,0.0,3.0,7.0,2.0,0.0,3.0,75.0
2020-03-27,0.0,1.0,1.0,0.0,6.0,0.0,10.0,0.0,1.0,2.0,0.0,4.0,0,6.0,24.0,0.0,0.0,0.0,5.0,0.0,3.0,7.0,2.0,0.0,3.0,75.0
2020-03-28,0.0,1.0,1.0,0.0,6.0,0.0,10.0,0.0,1.0,2.0,0.0,4.0,0,6.0,24.0,0.0,0.0,0.0,5.0,0.0,3.0,7.0,2.0,0.0,3.0,75.0
2020-03-29,0.0,1.0,1.0,0.0,6.0,0.0,10.0,0.0,1.0,2.0,0.0,4.0,1,6.0,24.0,0.0,0.0,0.0,5.0,0.0,3.0,7.0,2.0,0.0,3.0,76.0
2020-03-30,0.0,1.0,1.0,0.0,6.0,0.0,10.0,0.0,1.0,2.0,0.0,4.0,1,6.0,24.0,0.0,0.0,0.0,5.0,0.0,3.0,7.0,2.0,0.0,3.0,76.0
2020-03-31,0.0,1.0,1.0,0.0,6.0,0.0,10.0,0.0,1.0,2.0,0.0,4.0,1,6.0,24.0,0.0,0.0,0.0,5.0,0.0,3.0,7.0,2.0,0.0,3.0,76.0
2020-04-01,0.0,1.0,1.0,0.0,6.0,0.0,10.0,0.0,1.0,2.0,0.0,4.0,2,6.0,24.0,0.0,0.0,0.0,5.0,0.0,3.0,7.0,2.0,0.0,3.0,77.0
2020-04-02,0.0,1.0,1.0,0.0,6.0,0.0,10.0,0.0,1.0,2.0,0.0,4.0,2,6.0,24.0,0.0,0.0,0.0,5.0,0.0,3.0,7.0,2.0,0.0,3.0,77.0
2020-04-03,0.0,1.0,1.0,0.0,6.0,0.0,10.0,0.0,1.0,2.0,0.0,4.0,2,6.0,24.0,0.0,0.0,0.0,5.0,0.0,3.0,7.0,2.0,0.0,3.0,77.0
2020-04-04,0.0,1.0,1.0,0.0,6.0,0.0,10.0,0.0,1.0,2.0,0.0,4.0,2,6.0,24.0,0.0,0.0,0.0,5.0,0.0,3.0,7.0,2.0,0.0,3.0,77.0
2020-04-05,0.0,1.0,1.0,0.0,6.0,0.0,10.0,0.0,1.0,2.0,0.0,4.0,2,6.0,24.0,0.0,0.0,0.0,5.0,0.0,3.0,7.0,2.0,0.0,3.0,77.0
