Date,Andaman and Nicobar Islands,Andhra Pradesh,Bihar,Chhattisgarh,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,J and K,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,NorthEast,Odisha,Punjab,Rajasthan,Tamil Nadu,Telengana,Uttar Pradesh,Uttarakhand,West Bengal,India
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2.0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3.0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3.0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3.0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3.0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3.0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3.0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3.0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3.0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3.0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3.0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3.0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3.0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3.0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3.0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3.0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3.0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3.0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3.0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3.0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3.0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3.0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3.0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3.0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3.0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3.0
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3.0
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3.0
2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3.0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3.0
2020-03-02,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,5.0
2020-03-03,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,5.0
2020-03-04,0,0,0,0,1,0,0,14,0,0,0,0,3,0,0,0,0,0,1,0,1,6,0,0,26.0
2020-03-05,0,0,0,0,2,0,0,14,0,0,0,0,3,0,0,0,0,0,1,0,1,7,0,0,28.0
2020-03-06,0,0,0,0,3,0,0,14,0,0,0,0,3,0,0,0,0,0,1,0,1,7,0,0,29.0
2020-03-07,0,0,0,0,3,0,0,14,0,2,0,0,3,0,0,0,0,0,1,1,1,7,0,0,32.0
2020-03-08,0,0,0,0,3,0,0,14,0,2,0,0,8,0,0,0,0,0,1,1,1,7,0,0,37.0
2020-03-09,0,0,0,0,4,0,0,14,0,3,0,1,9,0,2,0,0,1,1,1,1,7,0,0,44.0
2020-03-10,0,0,0,0,4,0,0,14,0,3,0,4,15,0,5,0,0,1,1,1,1,7,0,0,56.0
2020-03-11,0,0,0,0,5,0,0,14,0,3,0,4,17,0,10,0,0,1,3,1,1,9,0,0,68.0
2020-03-12,0,1,0,0,6,0,0,14,0,4,0,4,17,0,11,0,0,1,3,1,1,11,0,0,74.0
2020-03-13,0,1,0,0,6,0,0,14,0,4,0,5,17,0,11,0,0,1,3,1,1,11,0,0,75.0
2020-03-14,0,1,0,0,7,0,0,14,0,5,0,6,19,0,14,0,0,1,3,1,1,12,0,0,84.0
2020-03-15,0,1,0,0,7,0,0,14,0,5,0,6,23,0,32,0,0,1,4,1,3,13,1,0,111.0
2020-03-16,0,1,0,0,7,0,0,14,0,7,0,6,23,0,32,0,1,1,4,1,3,13,1,0,114.0
2020-03-17,0,1,0,0,8,0,0,15,0,9,0,11,26,0,39,0,1,1,4,1,5,15,1,0,137.0
2020-03-18,0,1,0,0,10,0,0,17,0,11,0,11,27,0,42,0,1,1,4,1,6,16,1,1,150.0
2020-03-19,0,2,0,1,12,0,0,17,0,12,0,14,27,0,47,0,1,2,7,2,6,19,1,1,171.0
2020-03-20,0,2,0,1,17,0,2,17,0,14,0,15,28,0,47,0,1,2,7,3,16,19,1,1,193.0
2020-03-21,0,3,0,1,26,0,7,17,2,17,0,15,40,4,63,0,2,13,17,3,21,24,3,3,281.0
2020-03-22,0,5,2,1,29,0,18,21,2,17,0,26,52,4,67,0,2,21,24,7,22,27,3,4,354.0
2020-03-23,0,7,2,1,29,0,29,26,2,17,0,33,67,6,74,0,2,21,28,9,32,31,3,7,426.0
2020-03-24,0,8,3,1,30,0,33,28,3,17,0,37,95,7,89,1,2,29,32,15,35,33,4,9,511.0
2020-03-25,0,9,4,1,31,0,38,28,3,20,0,41,109,14,128,2,2,29,36,18,35,37,4,9,598.0
2020-03-26,1,11,6,6,36,3,43,30,3,26,0,55,118,20,124,2,2,33,41,26,44,41,5,10,686.0
2020-03-27,1,12,6,6,36,3,43,30,3,26,0,55,137,20,130,2,2,33,41,29,45,41,5,10,716.0
2020-03-28,6,14,9,6,39,3,45,33,3,33,0,55,176,30,180,2,3,38,54,40,56,55,5,15,900.0
2020-03-29,9,14,9,6,39,3,53,33,3,44,0,76,182,30,186,2,3,38,54,42,66,55,6,18,971.0
2020-03-30,9,19,11,7,53,5,58,33,3,44,0,80,194,33,193,2,3,38,57,50,69,75,7,19,1062.0
2020-03-31,10,40,15,8,97,5,73,40,3,67,0,83,234,47,216,2,3,41,74,74,79,101,7,26,1345.0
2020-04-01,10,83,23,9,152,5,82,43,3,75,1,101,241,66,302,3,4,42,93,234,96,103,7,0,1778.0
2020-04-02,10,86,23,9,152,5,82,43,3,75,1,110,265,99,335,3,4,46,108,234,96,113,7,0,1909.0
2020-04-03,10,132,24,9,219,6,87,43,6,84,2,124,286,99,335,20,5,46,133,309,107,113,10,53,2262.0
